name,description,imgUrl,price,category
"Total Care Baby Diaper Pants - Extra Large, 12-17 kg, With Anti-Rash Shield",54 pcs,https://www.bigbasket.com/media/uploads/p/l/40110180_4-himalaya-baby-total-care-diaper-pants-extra-large.jpg,7.1,Baby Care
Wipes - Gentle Baby,72 pcs,https://www.bigbasket.com/media/uploads/p/l/20002825_6-himalaya-baby-wipes-gentle-baby.jpg,1.5,Baby Care
"New Dry Diapers - Medium, Quick Lock System, Prevents Rash",30 pcs,https://www.bigbasket.com/media/uploads/p/l/40208011_2-huggies-new-dry-diapers-medium.jpg,4.25,Baby Care
Premium Soft Diaper Pants - Extra Large Size,2x14 pcs,https://www.bigbasket.com/media/uploads/p/l/1212876_1-huggies-premium-soft-diaper-pants-extra-large-size.jpg,5.6,Baby Care
Diaper Pants - XXL,16 pcs,https://www.bigbasket.com/media/uploads/p/l/40111395_7-pampers-diaper-pants-xxl.jpg,3.61,Baby Care
Premium Care Diapers - Small,21 pcs,https://www.bigbasket.com/media/uploads/p/l/40141641_6-pampers-premium-care-diapers-small.jpg,2.99,Baby Care
Baby Accessories & Vegetable Liquid Cleanser,300 ml,https://www.bigbasket.com/media/uploads/p/l/40022484_3-mee-mee-baby-accessories-vegetable-liquid-cleanser.jpg,2.38,Baby Care
Infant Nail Scissors,1 pc,https://www.bigbasket.com/media/uploads/p/l/40137502_2-pigeon-baby-infant-nail-scissors.jpg,5.8,Baby Care
"All-Round Protection Diaper Pants - M, 7-12 kg, Anti-Rash, Ultra Absorb, Leakage Prevention for upto 12 Hours",152 pcs,https://www.bigbasket.com/media/uploads/p/l/40111396_7-pampers-diaper-pants-medium.jpg,14.55,Baby Care
"Nature Care Pants - With Organic Cotton, Monthly Pack, Large, pH Balanced Liner, For Delicate Skin",104 pcs,https://www.bigbasket.com/media/uploads/p/l/40208028_2-huggies-nature-care-diaper-pants-large-monthly-pack.jpg,15.25,Baby Care
"Baby Powder - Talc-Free, Cornstarch, Calendula, Avocado, Prevents Diaper Rashes & Irritation",100 g,https://www.bigbasket.com/media/uploads/p/l/40243936_1-tnw-the-natural-wash-baby-powder-talc-free-cornstarch-calendula-avocado-prevents-diaper-rashes-irritation.jpg,3.4,Baby Care
"Total Care Baby Diaper Pants - Large, 8-14 kg, With Anti-Rash Shield",54 pcs,https://www.bigbasket.com/media/uploads/p/l/40110179_4-himalaya-baby-total-care-diaper-pants-large.jpg,6.65,Baby Care
Body Lotion - Natural Sensation,500 ml,https://www.bigbasket.com/media/uploads/p/l/40122857_3-chicco-body-lotion-natural-sensation.jpg,8.44,Baby Care
Breathe Easy Vapour Roll - On For Babies,2x40 ml,https://www.bigbasket.com/media/uploads/p/l/1212467_1-mamaearth-breathe-easy-vapour-roll-on-for-babies.jpg,3.1,Baby Care
